Year,Site,Latitude,Longitude,Habitat,Deployed,Collected,Month,File Name,Validation 
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_182000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_182500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_183000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_183500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_184000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_184500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_185000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_185500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_190000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_190500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_191000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_191500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_192000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_192500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_193000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_193500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_194000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_194500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_195000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_195500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_200000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_200500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_201000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_201500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_202000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_202500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_203000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_203500.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_204000.WAV,0
2023,TU1,-2.088716,-47.49881,Pasture,10/02/2023,17/02/2023,2,20230210_204500.WAV,0
